"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Drive Strength
1,PD0,SOLENOID7,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
2,PD31,,QSPI_QIO3,n/a,n/a,No,Disabled,No,No,Disabled,Low
4,PE0,,Available,In,,,,,,,
6,PE1,,Available,In,,,,,,,
7,PE2,MPU_USB_DET,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
10,PE3,MOTOR2_ENA,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
11,PC0,MOTOR2_REFL,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
12,PC27,,SPI1_MOSI,n/a,n/a,No,Disabled,No,No,Disabled,Low
13,PC26,,SPI1_MISO,n/a,n/a,No,Disabled,No,No,Disabled,Low
14,PC31,MOTOR1_ENA,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
15,PC30,MOTOR2_REFR,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
16,PC29,,SPI1_NPCS2,n/a,n/a,No,Disabled,No,No,Disabled,Low
17,PC12,MOTOR1_REFR,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
18,PC15,,Available,In,,,,,,,
19,PC13,,Available,In,,,,,,,
20,PB1,Shut_DIR,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
21,PB0,SOLENOID6,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
22,PA20,SOLENOID5,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
23,PA19,SOLENOID4,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
24,PA18,SOLENOID3,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
25,PA17,,QSPI_QIO2,n/a,n/a,No,Disabled,No,No,Disabled,Low
26,PB2,SOLENOID2,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
27,PE4,SOLENOID1,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
28,PE5,SOLENOID8,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
31,PB3,,Available,In,,,,,,,
32,PA21,,AFEC0_AD1,n/a,n/a,No,Disabled,No,No,Disabled,Low
34,PD30,,Available,In,,,,,,,
35,PA7,,PMC_XIN32,n/a,n/a,No,Disabled,No,No,Disabled,Low
36,PA8,,PMC_XOUT32,n/a,n/a,No,Disabled,No,No,Disabled,Low
37,PA22,,Available,In,,,,,,,
38,PC1,SNS_20,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
39,PC2,SNS_10,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
40,PC3,SNS_19,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
41,PC4,SNS_9,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
42,PA13,,QSPI_QIO0,n/a,n/a,No,Disabled,No,No,Disabled,Low
45,PA16,LED_STATE,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
46,PA23,LED_PWR,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
47,PD27,,TWIHS2_TWD2,n/a,n/a,No,Disabled,No,No,Disabled,Low
48,PC7,SNS_18,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
49,PA15,LP_FG,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
51,PA14,,QSPI_QSCK,n/a,n/a,No,Disabled,No,No,Disabled,Low
52,PD25,,UART2_URXD2,n/a,n/a,No,Disabled,No,No,Disabled,Low
53,PD26,,UART2_UTXD2,n/a,n/a,No,Disabled,No,No,Disabled,Low
54,PC6,SNS_17,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
55,PD24,,Available,In,,,,,,,
56,PA24,,Available,In,,,,,,,
57,PD23,,Available,In,,,,,,,
58,PC5,SNS_8,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
59,PA25,VACUUM_PWM,PWM0_PWMH2,n/a,n/a,No,Disabled,No,No,Disabled,Low
60,PD22,,SPI0_SPCK,n/a,n/a,No,Disabled,No,No,Disabled,Low
62,PA26,MOTOR4_REFR,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
63,PD21,,SPI0_MOSI,n/a,n/a,No,Disabled,No,No,Disabled,Low
64,PA11,,QSPI_QCS,n/a,n/a,No,Disabled,No,No,Disabled,Low
65,PD20,,SPI0_MISO,n/a,n/a,No,Disabled,No,No,Disabled,Low
66,PA10,,UART0_UTXD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
67,PD19,LED3,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
68,PA12,,QSPI_QIO1,n/a,n/a,No,Disabled,No,No,Disabled,Low
69,PD18,SPI0_LATCH,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
70,PA27,MOTOR4_REFL,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
71,PD28,,TWIHS2_TWCK2,n/a,n/a,No,Disabled,No,No,Disabled,Low
73,PA5,,Available,In,,,,,,,
74,PD17,SPI0_RESET,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
75,PA9,,UART0_URXD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
76,PC28,,SPI1_NPCS1,n/a,n/a,No,Disabled,No,No,Disabled,Low
77,PA4,,TWIHS0_TWCK0,n/a,n/a,No,Disabled,No,No,Disabled,Low
78,PD16,,Available,In,,,,,,,
79,PB6,,ICE_TMS/SWDIO,n/a,n/a,No,Disabled,No,No,Disabled,Low
82,PC8,SNS_7,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
84,PD14,MOTOR2_CS,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
86,PC9,SNS_16,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
87,PB12,,Available,In,,,,,,,
88,PD13,MOTOR3_CS,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
89,PB7,,Available,In,,,,,,,
90,PC10,SNS_6,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
91,PA3,,TWIHS0_TWD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
92,PD12,MOTOR4_CS,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
93,PA2,MOTOR3_ENA,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
94,PC11,SNS_15,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
97,PC14,SNS_5,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
98,PD11,MOTOR1_REFL,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
99,PA1,MOTOR3_REFL,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
100,PC16,SNS_14,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
101,PD10,,Available,In,,,,,,,
102,PA0,MOTO3_REFR,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
103,PC17,SNS_4,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
105,PB4,,Available,In,,,,,,,
106,PD15,,Available,In,,,,,,,
108,PD29,,Available,In,,,,,,,
109,PB5,,Available,In,,,,,,,
110,PD9,,Available,In,,,,,,,
111,PC18,SNS_2,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
112,PA28,MOTOR4_ENA,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
113,PD8,LPB_ENA,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
114,PA6,MOT_16MHZ,PMC_PCK0,n/a,n/a,No,Disabled,No,No,Disabled,Low
116,PA30,PUMP3,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
117,PC19,SNS_11,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
118,PA31,,SPI0_NPCS1,n/a,n/a,No,Disabled,No,No,Disabled,Low
119,PD7,LED5,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
120,PC20,SNS_1,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
121,PD6,LED2,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
122,PC21,SNS_12,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
124,PC22,SNS_3,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
125,PD5,LED1,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
126,PD4,LP_FR,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
127,PC23,SNS_13,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
128,PD3,PUMP2,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
129,PA29,LED4,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
130,PC24,,SPI1_SPCK,n/a,n/a,No,Disabled,No,No,Disabled,Low
131,PD2,PUMP1,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
132,PD1,,Available,In,,,,,,,
133,PC25,,SPI1_NPCS0,n/a,n/a,No,Disabled,No,No,Disabled,Low
141,PB8,,PMC_XOUT,n/a,n/a,No,Disabled,No,No,Disabled,Low
142,PB9,,PMC_XIN,n/a,n/a,No,Disabled,No,No,Disabled,Low
144,PB13,,Available,In,,,,,,,
